Season, Tm, LG, G, PA, AB, R, H, 2B, 3B, HR, RBI, BB, SO, SB, CS, HBP, AVG, OBP, SLG, OPS, TB, LOB, SAC, SF, BABIP, XBH, GIDP, GIDPO, NP, P/PA, K/PA, HR/PA, BB/K, ISO, ROE, WO
2014, SF, NL, 28, 77, 73, 8, 14, 2, 0, 3, 5, 3, 20, 0, 0, 1, .192, .234, .342, .576, 77, 25, 34, 0, 0, .220, 5, 0, 13, 269, 3.494, .260, .039, .150, .151, .151, 0
2015, CIN, NL, 27, 72, 64, 6, 14, 2, 0, 5, 9, 6, 26, 0, 0, 2, .219, .306, .484, .790, 72, 31, 29, 0, 0, .273, 7, 0, 7, 278, 3.861, .361, .069, .231, .266, .266, 0
2016, CIN, NL, 150, 608, 552, 85, 133, 31, 6, 33, 103, 41, 164, 6, 5, 6, .241, .297, .498, .795, 608, 275, 228, 0, 8, .275, 70, 7, 80, 2226, 3.661, .270, .054, .250, .257, .257, 0
2017, CIN, NL, 157, 647, 587, 78, 146, 37, 3, 31, 99, 39, 170, 5, 3, 10, .249, .301, .480, .782, 647, 282, 323, 0, 11, .290, 71, 11, 126, 2484, 3.839, .263, .048, .229, .232, .232, 1
2018, 2 Teams, 138, 427, 384, 48, 75, 20, 0, 15, 61, 37, 117, 2, 2, 5, .195, .274, .365, .639, 140, 231, 0, 1, .237, 35, 9, 80, 1648, 3.859, .274, .035, .316, .169, .169, 1
2018, CIN, NL, 105, 370, 331, 40, 68, 19, 0, 15, 61, 34, 100, 2, 2, 4, .205, .286, .399, .685, 370, 132, 192, 0, 1, .244, 34, 8, 68, 1455, 3.932, .270, .041, .340, .193, .193, 1
2018, ATL, NL, 33, 57, 53, 8, 7, 1, 0, 0, 0, 3, 17, 0, 0, 1, .132, .193, .151, .344, 57, 8, 39, 0, 0, .194, 1, 1, 12, 193, 3.386, .298, .000, .176, .019, .019, 0
2019, ATL, NL, 41, 130, 120, 17, 32, 4, 1, 10, 19, 7, 39, 0, 0, 2, .267, .315, .567, .882, 130, 68, 61, 0, 1, .306, 15, 0, 14, 530, 4.077, .300, .077, .179, .300, .300, 0
2020, ATL, NL, 43, 146, 134, 27, 35, 6, 0, 13, 29, 9, 41, 0, 0, 2, .261, .315, .597, .912, 146, 80, 70, 0, 1, .272, 19, 2, 21, 533, 3.651, .281, .089, .220, .336, .336, 1
7 Seasons, 583, 2100, 1909, 269, 449, 102, 10, 110, 325, 140, 575, 13, 10, 28, .235, .294, .472, .766, 2100, 901, 974, 0, 22, .272, 222, 29, 340, 7940, 3.781, .274, .052, .243, .237, .237, 3
