2013, DET, AL, 11, 18, 18, 1, 5, 0, 0, 0, 0, 0, 1, 0, 0, 0, .278, .278, .278, .556, 18, 5, 11, 0, 0, .294, 0, 0, 4, 62, 3.444, .056, .000, .---, .000, .000, 0, 
2014, DET, AL, 148, 579, 533, 50, 138, 31, 4, 11, 66, 36, 140, 2, 2, 3, .259, .306, .394, .700, 579, 210, 256, 0, 7, .326, 46, 7, 83, 2239, 3.867, .242, .019, .257, .135, .135, 0, 
2015, DET, AL, 154, 595, 549, 42, 140, 33, 6, 15, 73, 39, 152, 0, 3, 1, .255, .303, .419, .721, 595, 230, 213, 0, 6, .322, 54, 21, 94, 2317, 3.894, .255, .025, .257, .164, .164, 0, 
2016, DET, AL, 110, 447, 411, 54, 117, 25, 4, 18, 58, 28, 111, 1, 1, 3, .285, .331, .496, .827, 447, 204, 169, 0, 5, .345, 47, 4, 65, 1729, 3.868, .248, .040, .252, .212, .212, 0, 
2017, DET, AL, 157, 665, 614, 73, 167, 36, 10, 26, 101, 41, 142, 4, 5, 5, .272, .320, .490, .811, 665, 301, 223, 0, 5, .313, 72, 12, 84, 2605, 3.917, .214, .039, .289, .218, .218, 0, 
2018, DET, AL, 157, 678, 620, 88, 185, 46, 5, 23, 89, 49, 151, 2, 1, 6, .298, .354, .500, .854, 678, 310, 237, 0, 3, .361, 74, 8, 108, 2439, 3.597, .223, .034, .325, .202, .202, 0, 
2019, 2 Teams, 151, 664, 615, 100, 178, 58, 3, 27, 73, 41, 143, 2, 2, 5, .289, .337, .525, .863, 323, 215, 0, 3, .337, 2436, 
2019, CHC, NL, 51, 225, 212, 43, 68, 21, 0, 16, 36, 10, 47, 0, 1, 2, .321, .356, .646, 1.002, 225, 137, 74, 0, 1, .347, 37, 5, 32, 793, 3.524, .209, .071, .213, .325, .325, 0, 
2019, DET, AL, 100, 439, 403, 57, 110, 37, 3, 11, 37, 31, 96, 2, 1, 3, .273, .328, .462, .790, 439, 186, 141, 0, 2, .332, 51, 7, 64, 1643, 3.743, .219, .025, .323, .189, .189, 1, 
2020, CIN, NL, 41, 165, 144, 28, 35, 8, 1, 12, 27, 16, 43, 0, 2, 4, .243, .333, .563, .896, 165, 81, 65, 0, 1, .256, 21, 4, 23, 662, 4.012, .261, .073, .372, .319, .319, 1, 
8 Seasons, 929, 3811, 3504, 436, 965, 237, 33, 132, 487, 250, 883, 11, 16, 27, .275, .326, .475, .801, 3811, 1664, 1389, 0, 30, .331, 402, 68, 557, 14489, 3.802, .232, .035, .283, .199, .199, 2, 
